Id,Sold Price
47439,794915.5555555555
47440,346111.1111111111
47441,826784.8888888889
47442,787333.3333333334
47443,1095777.7777777778
47444,747722.2222222222
47445,1470000.0
47446,431666.6666666667
47447,2211111.111111111
47448,496555.55555555556
47449,628555.5555555555
47450,856666.6666666666
47451,336222.22222222225
47452,312111.1111111111
47453,554144.4444444445
47454,567111.1111111111
47455,286444.44444444444
47456,1761333.3333333333
47457,411111.1111111111
47458,201888.88888888888
47459,337111.1111111111
47460,1394555.5555555555
47461,1274555.5555555555
47462,1128396.2962962962
47463,1591944.4444444445
47464,888888.8888888889
47465,821722.2222222222
47466,1256111.111111111
47467,624444.4444444445
47468,14820000.0
47469,686555.5555555555
47470,166666.66666666666
47471,465333.3333333333
47472,335333.3333333333
47473,1853513.888888889
47474,423333.3333333333
47475,1785122.2222222222
47476,349500.0
47477,183222.22222222222
47478,233000.0
47479,749888.8888888889
47480,212222.22222222222
47481,182611.11111111112
47482,1599611.111111111
47483,631311.1111111111
47484,3206111.111111111
47485,492555.55555555556
47486,832222.2222222222
47487,1075555.5555555555
47488,1230722.2222222222
47489,735111.1111111111
47490,561277.7777777778
47491,324611.1111111111
47492,605555.5555555555
47493,340110.55555555556
47494,658722.2222222222
47495,457822.44444444444
47496,2435905.5555555555
47497,1928000.0
47498,1260977.7777777778
47499,230101.85185185182
47500,324088.8888888889
47501,138611.11111111112
47502,367300.0
47503,276833.3333333333
47504,315111.1111111111
47505,379333.3333333333
47506,2943233.3333333335
47507,1274444.4444444445
47508,383833.3333333333
47509,904666.6666666666
47510,796944.4444444445
47511,340633.3888888889
47512,455545.6666666667
47513,264222.22222222225
47514,1105611.111111111
47515,267944.44444444444
47516,700755.7777777778
47517,241555.55555555556
47518,1553333.3333333333
47519,617888.8888888889
47520,1596111.111111111
47521,2020555.5555555555
47522,399666.6666666667
47523,1466333.3333333333
47524,795666.6666666666
47525,2016666.6666666667
47526,825777.7777777778
47527,1435000.0
47528,132722.22222222222
47529,414777.77777777775
47530,1338222.2222222222
47531,2676944.4444444445
47532,701811.1111111111
47533,1791111.111111111
47534,401666.6666666667
47535,120388.88888888889
47536,150666.66666666666
47537,3867444.4444444445
47538,646111.1111111111
47539,746055.5555555555
47540,1156225.7777777778
47541,529111.1111111111
47542,472777.77777777775
47543,1383888.888888889
47544,770222.2222222222
47545,1553722.2222222222
47546,540111.1111111111
47547,708666.6666666666
47548,2316666.6666666665
47549,479666.6666666667
47550,8787222.222222222
47551,767944.4444444445
47552,340555.55555555556
47553,1376666.6666666667
47554,545555.5555555555
47555,463022.22222222225
47556,1048444.4444444445
47557,498722.22222222225
47558,914888.8888888889
47559,344333.3333333333
47560,369716.6666666667
47561,1422500.0
47562,1295500.0
47563,588266.6666666666
47564,380222.22222222225
47565,1484388.888888889
47566,1177777.7777777778
47567,600777.7777777778
47568,1402222.2222222222
47569,426333.3333333333
47570,830833.3333333334
47571,464722.22222222225
47572,261000.0
47573,1753429.7777777778
47574,295388.8888888889
47575,1017000.0
47576,1001333.3333333334
47577,860333.3333333334
47578,1295888.888888889
47579,739222.2222222222
47580,458055.55555555556
47581,1435777.7777777778
47582,534111.1111111111
47583,764000.0
47584,799388.8888888889
47585,367533.3333333333
47586,415555.55555555556
47587,370166.6666666667
47588,773833.7777777778
47589,441555.55555555556
47590,403600.0
47591,1324111.111111111
47592,2991200.0
47593,252174.44444444444
47594,558111.1111111111
47595,453611.1111111111
47596,1897985.0
47597,572744.3333333334
47598,371933.3333333333
47599,999400.0
47600,3081111.111111111
47601,345444.44444444444
47602,624466.6666666666
47603,327944.44444444444
47604,477000.0
47605,725777.7777777778
47606,787777.7777777778
47607,273777.77777777775
47608,164444.44444444444
47609,242111.11111111112
47610,842555.5555555555
47611,3089000.0
47612,266722.22222222225
47613,1018191.5555555555
47614,362621.55555555556
47615,518222.22222222225
47616,431166.6666666667
47617,2139222.222222222
47618,331600.0
47619,498555.55555555556
47620,834111.1111111111
47621,713866.6666666666
47622,1412777.7777777778
47623,2230666.6666666665
47624,1177777.7777777778
47625,627222.2222222222
47626,120388.88888888889
47627,572444.4444444445
47628,216155.55555555556
47629,1597666.6666666667
47630,973111.1111111111
47631,1884234.2222222222
47632,365388.8888888889
47633,597888.8888888889
47634,412666.6666666667
47635,808086.2222222222
47636,690555.5555555555
47637,483888.8888888889
47638,1770555.5555555555
47639,560444.4444444445
47640,379000.0
47641,633144.4444444445
47642,344333.3333333333
47643,851444.4444444445
47644,1127777.7777777778
47645,435888.8888888889
47646,412888.8888888889
47647,721111.1111111111
47648,434483.3333333333
47649,618888.8888888889
47650,1222222.2222222222
47651,196644.44444444444
47652,1158765.3333333333
47653,403666.6666666667
47654,1175777.7777777778
47655,698166.6666666666
47656,2288555.5555555555
47657,934666.6666666666
47658,1461111.111111111
47659,781166.6666666666
47660,687777.7777777778
47661,1141555.5555555555
47662,242666.66666666666
47663,1056333.3333333333
47664,2185555.5555555555
47665,2432877.777777778
47666,891555.5555555555
47667,753000.0
47668,673895.5555555555
47669,623166.6666666666
47670,259100.0
47671,1110777.7777777778
47672,2047777.7777777778
47673,712622.2222222222
47674,306555.55555555556
47675,694333.3333333334
47676,443611.1111111111
47677,1247777.7777777778
47678,1042777.7777777778
47679,1379833.3333333333
47680,404888.8888888889
47681,796919.4444444445
47682,354888.8888888889
47683,434611.1111111111
47684,1265046.6666666667
47685,10782097.222222222
47686,1872000.0
47687,1691803.7037037036
47688,722402.7777777778
47689,776888.8888888889
47690,1142722.2222222222
47691,1917777.7777777778
47692,308500.0
47693,248500.0
47694,296777.77777777775
47695,1311224.2222222222
47696,184777.77777777778
47697,1381111.111111111
47698,512777.77777777775
47699,153555.55555555556
47700,847777.7777777778
47701,417422.22222222225
47702,2362555.5555555555
47703,193611.11111111112
47704,348888.8888888889
47705,706347.2222222222
47706,418544.44444444444
47707,4866666.666666667
47708,338722.22222222225
47709,1385266.6666666667
47710,824888.8888888889
47711,753444.4444444445
47712,667444.4444444445
47713,1752000.0
47714,390807.4074074074
47715,1302222.2222222222
47716,1436444.4444444445
47717,312277.77777777775
47718,839000.0
47719,662444.3333333334
47720,426722.22222222225
47721,1274333.3333333333
47722,886417.4444444445
47723,314055.55555555556
47724,720222.2222222222
47725,786777.7777777778
47726,640055.5555555555
47727,1911543.111111111
47728,799777.7777777778
47729,834388.8888888889
47730,419434.0
47731,606666.6666666666
47732,254166.66666666666
47733,787444.4444444445
47734,8689566.222222222
47735,1359844.4444444445
47736,565333.3333333334
47737,713222.2222222222
47738,235444.44444444444
47739,286777.77777777775
47740,365055.55555555556
47741,445555.55555555556
47742,569944.4444444445
47743,2565077.777777778
47744,974722.2222222222
47745,1487780.111111111
47746,812555.5555555555
47747,246722.22222222222
47748,608333.3333333334
47749,904888.8888888889
47750,606444.4444444445
47751,1342222.2222222222
47752,1269888.888888889
47753,326944.44444444444
47754,461444.44444444444
47755,2034000.0
47756,859855.5555555555
47757,417977.77777777775
47758,497500.0
47759,879500.0
47760,999110.0
47761,507788.8888888889
47762,323444.44444444444
47763,1583362.7777777778
47764,736555.5555555555
47765,869333.3333333334
47766,1138955.5555555555
47767,289000.0
47768,542277.7777777778
47769,590555.5555555555
47770,1639833.3333333333
47771,504777.77777777775
47772,997138.8888888889
47773,661666.6666666666
47774,1534555.5555555555
47775,772555.5555555555
47776,685000.0
47777,699987.5555555555
47778,775833.3333333334
47779,2206820.111111111
47780,363222.22222222225
47781,1041111.1111111111
47782,502111.1111111111
47783,353111.1111111111
47784,705555.5555555555
47785,1358315.5555555555
47786,1485088.888888889
47787,442400.0
47788,183796.2962962963
47789,2126222.222222222
47790,1097777.7777777778
47791,831444.4444444445
47792,712433.3333333334
47793,401518.5185185185
47794,2457555.5555555555
47795,602111.1111111111
47796,1345666.6666666667
47797,362555.55555555556
47798,1037394.8888888889
47799,5408659.444444444
47800,283944.44444444444
47801,516944.44444444444
47802,570000.0
47803,791944.4444444445
47804,1191388.888888889
47805,766777.7777777778
47806,1521166.6666666667
47807,2794444.4444444445
47808,621666.6666666666
47809,338666.6666666667
47810,2036111.111111111
47811,143866.66666666666
47812,542666.6666666666
47813,2747344.5555555555
47814,767611.1111111111
47815,1444111.111111111
47816,326444.44444444444
47817,1685555.5555555555
47818,298333.3333333333
47819,2380000.0
47820,1651666.6666666667
47821,1357555.5555555555
47822,2716222.222222222
47823,817555.4444444445
47824,481333.3333333333
47825,1332833.3333333333
47826,689666.6666666666
47827,288222.22222222225
47828,163000.0
47829,423555.55555555556
47830,878430.4444444445
47831,428044.6666666667
47832,1877752.7777777778
47833,448000.0
47834,243444.44444444444
47835,530666.6666666666
47836,1180722.2222222222
47837,617000.0
47838,2648721.111111111
47839,524166.6111111111
47840,999166.7777777778
47841,749888.8888888889
47842,1122444.4444444445
47843,1100666.6666666667
47844,267500.0
47845,1027222.2222222222
47846,732777.7777777778
47847,281166.6666666667
47848,897783.3333333334
47849,1577000.0
47850,958889.0
47851,600166.6666666666
47852,782777.7777777778
47853,742666.6666666666
47854,1201500.0
47855,646333.3333333334
47856,373722.22222222225
47857,513330.6666666667
47858,1316977.7777777778
47859,376777.77777777775
47860,1415488.888888889
47861,1863777.7777777778
47862,969111.1111111111
47863,492555.55555555556
47864,347089.0
47865,185711.11111111112
47866,824277.7777777778
